,Simulated,Portuguese Bank,BRCA,Census Income,German Credit
"Indep, SS",6,57,57,13,60
"Indep, KSHAP",17,43,54,2,67
"Dep, SS",32,42,68,58,64
"Dep, KSHAP",27,29,71,30,59
