,Simulated,Portuguese Bank,BRCA,Census Income,German Credit
"Indep, SS",31,18,19,4,15
"Indep, KSHAP",37,4,14,7,14
"Dep, SS",56,6,22,2,24
"Dep, KSHAP",54,1,17,3,22
