,Simulated,Portuguese Bank,BRCA,Census Income,German Credit
"Indep, SS",9,8,76,4,55
"Indep, KSHAP",22,25,86,-1,80
"Dep, SS",58,58,92,61,84
"Dep, KSHAP",51,40,92,51,87
